zip,precinct,ward
60640,9,48
60640,10,48
60640,11,48
60660,11,48
60640,12,48
60660,13,48
60640,14,48
60660,15,48
60660,16,48
60640,17,48
60660,18,48
60640,19,48
60660,19,48
60640,20,48
60640,21,48
60660,22,48
60640,23,48
60640,24,48
60660,25,48
60660,26,48
60660,27,48
60660,28,48
60640,29,48
60660,30,48
60660,31,48
60660,32,48
60660,33,48
60660,34,48
60660,35,48
60626,1,49
60626,2,49
60626,3,49
60626,4,49
60626,5,49
60626,6,49
60660,6,49
60626,7,49
60660,7,49
60626,8,49
60660,8,49
60626,9,49
60626,10,49
60645,10,49
60645,11,49
60645,12,49
60626,13,49
60645,13,49
60626,14,49
60626,15,49
60626,16,49
60626,17,49
60645,1,50
60645,2,50
60645,3,50
60645,4,50
60645,5,50
60645,6,50
60645,7,50
60626,8,50
60645,8,50
60659,8,50
60660,8,50
60645,9,50
60645,10,50
60659,10,50
60645,11,50
60645,12,50
60645,13,50
60659,13,50
60645,14,50
60645,15,50
60659,15,50
60645,16,50
60659,17,50
60645,18,50
60659,19,50
60659,20,50
60659,21,50
60645,22,50
60659,22,50
60659,23,50
60659,24,50
60659,25,50
60659,26,50
60645,27,50
60659,28,50
