Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60633,PRECINCT,12
City of Chicago,60633,PRECINCT,18
City of Chicago,60633,PRECINCT,19
City of Chicago,60633,PRECINCT,20
City of Chicago,60633,PRECINCT,21
City of Chicago,60633,PRECINCT,22
City of Chicago,60634,PRECINCT,1
City of Chicago,60634,PRECINCT,10
City of Chicago,60634,PRECINCT,11
City of Chicago,60634,PRECINCT,12
City of Chicago,60634,PRECINCT,13
City of Chicago,60634,PRECINCT,14
City of Chicago,60634,PRECINCT,15
City of Chicago,60634,PRECINCT,16
City of Chicago,60634,PRECINCT,17
City of Chicago,60634,PRECINCT,18
City of Chicago,60634,PRECINCT,19
City of Chicago,60634,PRECINCT,2
City of Chicago,60634,PRECINCT,20
City of Chicago,60634,PRECINCT,21
City of Chicago,60634,PRECINCT,22
City of Chicago,60634,PRECINCT,23
City of Chicago,60634,PRECINCT,24
City of Chicago,60634,PRECINCT,3
City of Chicago,60634,PRECINCT,4
City of Chicago,60634,PRECINCT,5
City of Chicago,60634,PRECINCT,6
City of Chicago,60634,PRECINCT,7
City of Chicago,60634,PRECINCT,8
City of Chicago,60634,PRECINCT,9
City of Chicago,60636,PRECINCT,1
City of Chicago,60636,PRECINCT,10
City of Chicago,60636,PRECINCT,11
City of Chicago,60636,PRECINCT,12
City of Chicago,60636,PRECINCT,13
City of Chicago,60636,PRECINCT,14
City of Chicago,60636,PRECINCT,17
City of Chicago,60636,PRECINCT,18
City of Chicago,60636,PRECINCT,19
City of Chicago,60636,PRECINCT,21
City of Chicago,60636,PRECINCT,22
City of Chicago,60636,PRECINCT,24
City of Chicago,60636,PRECINCT,3
City of Chicago,60636,PRECINCT,4
City of Chicago,60636,PRECINCT,5
City of Chicago,60636,PRECINCT,6
City of Chicago,60636,PRECINCT,7
City of Chicago,60636,PRECINCT,8
City of Chicago,60636,PRECINCT,9
City of Chicago,60637,PRECINCT,10
City of Chicago,60637,PRECINCT,11
City of Chicago,60637,PRECINCT,12
City of Chicago,60637,PRECINCT,13
City of Chicago,60637,PRECINCT,14
City of Chicago,60637,PRECINCT,15
City of Chicago,60637,PRECINCT,16
City of Chicago,60637,PRECINCT,17
City of Chicago,60637,PRECINCT,18
City of Chicago,60637,PRECINCT,19
City of Chicago,60637,PRECINCT,20
City of Chicago,60637,PRECINCT,21
City of Chicago,60637,PRECINCT,22
City of Chicago,60637,PRECINCT,23
City of Chicago,60637,PRECINCT,24
City of Chicago,60637,PRECINCT,25
City of Chicago,60637,PRECINCT,6
City of Chicago,60637,PRECINCT,7
City of Chicago,60637,PRECINCT,8
City of Chicago,60637,PRECINCT,9
City of Chicago,60638,PRECINCT,1
City of Chicago,60638,PRECINCT,10
City of Chicago,60638,PRECINCT,11
City of Chicago,60638,PRECINCT,12
