ward,precinct,zip
3.0,18.0,60616
3.0,19.0,60616
3.0,22.0,60616
3.0,21.0,60616
3.0,27.0,60616
3.0,34.0,60616
3.0,35.0,60616
3.0,3.0,60616
3.0,6.0,60616
3.0,7.0,60616
3.0,14.0,60616
3.0,23.0,60616
3.0,29.0,60616
3.0,41.0,60616
3.0,13.0,60616
3.0,40.0,60616
4.0,25.0,60616
4.0,6.0,60616
4.0,14.0,60616
4.0,11.0,60616
4.0,35.0,60616
4.0,36.0,60616
4.0,38.0,60616
11.0,18.0,60616
11.0,4.0,60616
11.0,5.0,60616
11.0,14.0,60616
11.0,19.0,60616
11.0,21.0,60616
11.0,22.0,60616
11.0,27.0,60616
11.0,20.0,60616
11.0,32.0,60616
11.0,30.0,60616
11.0,29.0,60616
11.0,26.0,60616
11.0,23.0,60616
11.0,16.0,60616
11.0,15.0,60616
11.0,10.0,60616
11.0,3.0,60616
11.0,33.0,60616
11.0,34.0,60616
11.0,35.0,60616
11.0,38.0,60616
11.0,37.0,60616
11.0,36.0,60616
25.0,27.0,60616
25.0,6.0,60616
25.0,14.0,60616
25.0,18.0,60616
25.0,23.0,60616
4.0,28.0,60616
3.0,35.0,60653
3.0,1.0,60653
3.0,2.0,60653
3.0,4.0,60653
3.0,7.0,60653
3.0,9.0,60653
3.0,11.0,60653
3.0,12.0,60653
3.0,15.0,60653
3.0,20.0,60653
3.0,23.0,60653
3.0,24.0,60653
3.0,29.0,60653
3.0,30.0,60653
3.0,38.0,60653
3.0,41.0,60653
4.0,4.0,60653
4.0,11.0,60653
4.0,5.0,60653
4.0,7.0,60653
4.0,9.0,60653
4.0,12.0,60653
4.0,15.0,60653
4.0,18.0,60653
4.0,19.0,60653
4.0,22.0,60653
4.0,24.0,60653
4.0,32.0,60653
4.0,30.0,60653
4.0,29.0,60653
4.0,26.0,60653
4.0,31.0,60653
4.0,34.0,60653
4.0,35.0,60653
4.0,36.0,60653
4.0,10.0,60653
3.0,1.0,60609
3.0,5.0,60609
3.0,10.0,60609
3.0,16.0,60609
3.0,23.0,60609
3.0,24.0,60609
3.0,29.0,60609
3.0,36.0,60609
3.0,41.0,60609
3.0,28.0,60609
11.0,11.0,60609
11.0,12.0,60609
11.0,19.0,60609
11.0,21.0,60609
11.0,24.0,60609
11.0,25.0,60609
11.0,28.0,60609
11.0,32.0,60609
11.0,31.0,60609
11.0,29.0,60609
11.0,26.0,60609
11.0,23.0,60609
11.0,17.0,60609
11.0,13.0,60609
12.0,5.0,60609
12.0,9.0,60609
12.0,1.0,60609
12.0,3.0,60609
12.0,4.0,60609
12.0,23.0,60609
12.0,6.0,60609
12.0,8.0,60609
12.0,19.0,60609
12.0,21.0,60609
12.0,17.0,60609
14.0,17.0,60609
14.0,25.0,60609
15.0,1.0,60609
15.0,4.0,60609
15.0,5.0,60609
15.0,8.0,60609
15.0,9.0,60609
15.0,3.0,60609
15.0,23.0,60609
15.0,19.0,60609
15.0,15.0,60609
15.0,14.0,60609
15.0,13.0,60609
16.0,2.0,60609
16.0,7.0,60609
16.0,8.0,60609
16.0,10.0,60609
16.0,12.0,60609
16.0,15.0,60609
16.0,20.0,60609
20.0,2.0,60609
20.0,4.0,60609
20.0,6.0,60609
20.0,17.0,60609
20.0,20.0,60609
20.0,21.0,60609
20.0,25.0,60609
20.0,15.0,60609
20.0,32.0,60609
20.0,39.0,60609
20.0,38.0,60609
5.0,28.0,60649
8.0,53.0,60649
5.0,1.0,60649
5.0,5.0,60649
5.0,6.0,60649
5.0,10.0,60649
5.0,12.0,60649
5.0,14.0,60649
5.0,17.0,60649
5.0,26.0,60649
5.0,29.0,60649
5.0,31.0,60649
5.0,32.0,60649
5.0,33.0,60649
5.0,36.0,60649
5.0,38.0,60649
5.0,25.0,60649
5.0,40.0,60649
7.0,3.0,60649
7.0,1.0,60649
7.0,2.0,60649
7.0,17.0,60649
7.0,20.0,60649
7.0,4.0,60649
7.0,13.0,60649
7.0,10.0,60649
7.0,11.0,60649
7.0,16.0,60649
7.0,21.0,60649
7.0,19.0,60649
7.0,18.0,60649
7.0,7.0,60649
7.0,12.0,60649
7.0,14.0,60649
7.0,22.0,60649
7.0,5.0,60649
7.0,6.0,60649
7.0,8.0,60649
7.0,15.0,60649
8.0,2.0,60649
8.0,21.0,60649
8.0,11.0,60649
8.0,13.0,60649
8.0,9.0,60649
8.0,20.0,60649
8.0,28.0,60649
8.0,36.0,60649
8.0,42.0,60649
20.0,22.0,60649
7.0,9.0,60649
8.0,53.0,60617
7.0,44.0,60617
5.0,12.0,60617
7.0,30.0,60617
7.0,33.0,60617
7.0,29.0,60617
7.0,17.0,60617
7.0,31.0,60617
7.0,20.0,60617
7.0,34.0,60617
7.0,35.0,60617
7.0,16.0,60617
7.0,21.0,60617
7.0,19.0,60617
7.0,18.0,60617
7.0,28.0,60617
7.0,40.0,60617
7.0,27.0,60617
7.0,23.0,60617
7.0,32.0,60617
7.0,22.0,60617
7.0,25.0,60617
7.0,39.0,60617
7.0,42.0,60617
7.0,38.0,60617
7.0,37.0,60617
7.0,24.0,60617
7.0,43.0,60617
7.0,15.0,60617
7.0,26.0,60617
7.0,36.0,60617
7.0,45.0,60617
7.0,41.0,60617
7.0,46.0,60617
8.0,3.0,60617
8.0,4.0,60617
8.0,5.0,60617
8.0,6.0,60617
8.0,7.0,60617
8.0,8.0,60617
10.0,12.0,60617
8.0,11.0,60617
8.0,12.0,60617
8.0,13.0,60617
8.0,17.0,60617
8.0,19.0,60617
8.0,9.0,60617
8.0,24.0,60617
8.0,27.0,60617
10.0,13.0,60617
8.0,30.0,60617
8.0,32.0,60617
8.0,34.0,60617
8.0,36.0,60617
8.0,46.0,60617
8.0,49.0,60617
8.0,50.0,60617
8.0,51.0,60617
8.0,52.0,60617
8.0,37.0,60617
8.0,56.0,60617
10.0,6.0,60617
10.0,8.0,60617
10.0,30.0,60617
10.0,15.0,60617
10.0,1.0,60617
10.0,4.0,60617
10.0,32.0,60617
10.0,7.0,60617
10.0,10.0,60617
10.0,11.0,60617
10.0,14.0,60617
10.0,18.0,60617
10.0,19.0,60617
10.0,20.0,60617
10.0,24.0,60617
10.0,25.0,60617
10.0,31.0,60617
10.0,26.0,60617
10.0,27.0,60617
10.0,28.0,60617
10.0,29.0,60617
10.0,33.0,60617
10.0,35.0,60617
10.0,34.0,60617
10.0,22.0,60617
10.0,21.0,60617
10.0,23.0,60617
10.0,36.0,60617
3.0,16.0,60621
3.0,36.0,60621
6.0,27.0,60621
6.0,4.0,60621
6.0,5.0,60621
6.0,6.0,60621
6.0,11.0,60621
6.0,12.0,60621
6.0,15.0,60621
